Node,Node type,Lat,Lon,Weight 1,Edge1,Edge1 Name,Type,Weight 2,Edge2,Edge2 Name,Type,Weight 3,Edge3,Edge3 Name,Type,Weight 4,Edge4,Edge4 Name,Type,Weight 5,Edge5,Edge5 Name,Type
603B PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 822603,HDB,1.4031429,103.9083163,198,BLK 604A (65099),walking,walk,,,,,,,,,,,,,,,,
604B PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 822604,HDB,1.4038893,103.9072069,65,BLK 604A (65099),walking,walk,73,BLK 301A (65091),walking,walk,197,BLK 298 (65229),walking,walk,,,,,,,,
195C PUNGGOL ROAD THE PERIWINKLE SINGAPORE 823195,HDB,1.4010921,103.9068312,117,OPP BLK 296 (65089),walking,walk,,,,,,,,,,,,,,,,
305C PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 823305,HDB,1.4054218,103.9069069,108,BLK 604A (65099),walking,walk,165,BLK 301A (65091),walking,walk,,,,,,,,,,,,
603C PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 823603,HDB,1.4033332,103.9079705,158,BLK 604A (65099),walking,walk,172,BLK 301A (65091),walking,walk,,,,,,,,,,,,
604C PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 823604,HDB,1.4036654,103.9075323,100,BLK 604A (65099),walking,walk,113,BLK 301A (65091),walking,walk,,,,,,,,,,,,
195D PUNGGOL ROAD THE PERIWINKLE SINGAPORE 824195,HDB,1.4013679,103.907096,143,OPP BLK 296 (65089),walking,walk,,,,,,,,,,,,,,,,
195E PUNGGOL ROAD THE PERIWINKLE SINGAPORE 825195,HDB,1.401718,103.9071773,158,OPP BLK 296 (65089),walking,walk,,,,,,,,,,,,,,,,
101 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820101,HDB,1.3984817,103.9058081,128,BLK 102C (65079),walking,walk,,,,,,,,,,,,,,,,
102 PUNGGOL FIELD SINGAPORE 820102,HDB,1.3982806,103.9056544,124,BLK 102C (65079),walking,walk,,,,,,,,,,,,,,,,
199 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820199,HDB,1.4001643,103.9060222,115,OPP BLK 199C (65081),walking,walk,132,OPP BLK 296 (65089),walking,walk,,,,,,,,,,,,
200 PUNGGOL FIELD SINGAPORE 820200,HDB,1.3992873,103.9030733,151,OPP BLK 103A (65071),walking,walk,164,AFT PUNGGOL RD (65209),walking,walk,172,OPP BLK 201A (65201),walking,walk,,,,,,,,
201 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820201,HDB,1.3997906,103.9036842,81,AFT PUNGGOL RD (65209),walking,walk,142,OPP BLK 201A (65201),walking,walk,151,BLK 102C (65079),walking,walk,,,,,,,,
203 PUNGGOL FIELD SINGAPORE 820203,HDB,1.3989866,103.9038538,68,OPP BLK 103A (65071),walking,walk,99,BLK 102C (65079),walking,walk,165,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
204 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820204,HDB,1.398485,103.9030658,119,OPP BLK 103A (65071),walking,walk,193,BLK 102C (65079),walking,walk,242,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
228 PUNGGOL FIELD MATILDA SUNDECK SINGAPORE 820228,HDB,1.4033191,103.8920302,624,SOO TECK LRT STATION[PW7],walking,walk,93,BEF SUMANG LANE (65541),walking,walk,94,AFT SUMANG LANE (65549),walking,walk,98,OPP BLK 227A (65559),walking,walk,,,,
258 PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 820258,HDB,1.4042098,103.8956389,219,SOO TECK LRT STATION[PW7],walking,walk,82,BLK 218 (65571),walking,walk,83,BLK 259 CP (65499),walking,walk,84,BLK 258A (65579),walking,walk,,,,
259 PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 820259,HDB,1.4044666,103.8953349,235,SOO TECK LRT STATION[PW7],walking,walk,41,BLK 259 CP (65499),walking,walk,42,OPP BLK 259 CP (65491),walking,walk,112,BLK 218 (65571),walking,walk,,,,
267 PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 820267,HDB,1.4040638,103.897907,151,SOO TECK LRT STATION[PW7],walking,walk,98,SOO TECK STN (65141),walking,walk,104,BLK 268C (65339),walking,walk,116,SOO TECK STN (65149),walking,walk,,,,
268 PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 820268,HDB,1.4035411,103.8971408,193,SOO TECK LRT STATION[PW7],walking,walk,102,SOO TECK STN (65149),walking,walk,110,BLK 268C (65339),walking,walk,111,SOO TECK STN (65141),walking,walk,,,,
269 PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 820269,HDB,1.4034202,103.899448,294,PUNGGOL MRT STATION[NE17],walking,walk,120,OPP BLK 268D (65331),walking,walk,159,BLK 268C (65339),walking,walk,199,BLK 272C (65349),walking,walk,,,,
270 PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 820270,HDB,1.4037325,103.8991301,266,SOO TECK LRT STATION[PW7],walking,walk,118,OPP BLK 268D (65331),walking,walk,137,BLK 268C (65339),walking,walk,236,SOO TECK STN (65141),walking,walk,,,,
101A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821101,HDB,1.3979462,103.9059451,172,BLK 102C (65079),walking,walk,,,,,,,,,,,,,,,,
102A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821102,HDB,1.3988332,103.9057836,115,BLK 102C (65079),walking,walk,,,,,,,,,,,,,,,,
199A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821199,HDB,1.399773,103.9060012,149,OPP BLK 199C (65081),walking,walk,,,,,,,,,,,,,,,,
201A PUNGGOL FIELD SINGAPORE 821201,HDB,1.4000855,103.9035356,64,AFT PUNGGOL RD (65209),walking,walk,106,OPP BLK 201A (65201),walking,walk,185,BLK 102C (65079),walking,walk,,,,,,,,
